title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
"Indirect Food Additives: Adhesives and Components of Coatings; Paper and Paperboard Components; Polymers; Adjuvants, Production Aids, and Sanitizers",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is responding to the objection that we received from the Environmental Defense Fund, Breast Cancer Prevention Partners, Environmental Protection Network, Environmental Working Group, and Healthy Babies Bright Futures on the final rule that amended the food additive regulations to no longer provide for the use of 25 plasticizers that the petition identified as ortho-phthalates because these food additive uses have been permanently abandoned. After reviewing the objection, FDA has concluded that the objection does not provide a basis for modifying FDA's final rule amending the food additive regulations.",89 FR 86239, 2024-25122,https://www.federalregister.gov/documents/2024/10/30/2024-25122/indirect-food-additives-adhesives-and-components-of-coatings-paper-and-paperboard-components,https://www.govinfo.gov/content/pkg/FR-2024-10-30/pdf/2024-25122.pdf,10/30/2024
New Animal Drugs; Approval of New Animal Drug Applications; Change of Sponsor; Change of Sponsor Address,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is amending the animal drug regulations to reflect application-related actions for new animal drug applications (NADAs), abbreviated new animal drug applications (ANADAs), and conditionally approved new animal drug applications (CNADAs) during April, May, and June 2024. The animal drug regulations are also being amended to improve their accuracy and readability.",89 FR 85423, 2024-24820,https://www.federalregister.gov/documents/2024/10/28/2024-24820/new-animal-drugs-approval-of-new-animal-drug-applications-change-of-sponsor-change-of-sponsor,https://www.govinfo.gov/content/pkg/FR-2024-10-28/pdf/2024-24820.pdf,10/28/2024
"Patient Protection and Affordable Care Act, HHS Notice of Benefit and Payment Parameters for 2025; Updating Section 1332 Waiver Public Notice Procedures; Medicaid; Consumer Operated and Oriented Plan (CO-OP) Program; and Basic Health Program; Correcting Amendment",Rule,Treasury Department; Health and Human Services Department; Centers for Medicare & Medicaid Services; Office of the Secretary,"This document corrects technical and typographical errors in the final rule that appeared in the April 15, 2024 issue of the Federal Register entitled, ""Patient Protection and Affordable Care Act, HHS Notice of Benefit and Payment Parameters for 2025; Updating Section 1332 Waiver Public Notice Procedures; Medicaid; Consumer Operated and Oriented Plan (CO-OP) Program; and Basic Health Program."" The effective date of the final rule was June 4, 2024.",89 FR 85431, 2024-24910,https://www.federalregister.gov/documents/2024/10/28/2024-24910/patient-protection-and-affordable-care-act-hhs-notice-of-benefit-and-payment-parameters-for-2025,https://www.govinfo.gov/content/pkg/FR-2024-10-28/pdf/2024-24910.pdf,10/28/2024
"Medicare and Medicaid Programs; Patient Protection and Affordable Care Act; Advancing Interoperability and Improving Prior Authorization Processes for Medicare Advantage Organizations, Medicaid Managed Care Plans, State Medicaid Agencies, Children's Health Insurance Program (CHIP) Agencies and CHIP Managed Care Entities, Issuers of Qualified Health Plans on the Federally- Facilitated Exchanges, Merit-Based Incentive Payment System (MIPS) Eligible Clinicians, and Eligible Hospitals and Critical Access Hospitals in the Medicare Promoting Interoperability Program; Correcting Amendment",Rule,Health and Human Services Department; Centers for Medicare & Medicaid Services,"This document corrects technical errors in the final rule that appeared in the February 8, 2024 Federal Register titled ""Medicare and Medicaid Programs; Patient Protection and Affordable Care Act; Advancing Interoperability and Improving Prior Authorization Processes for Medicare Advantage Organizations, Medicaid Managed Care Plans, State Medicaid Agencies, Children's Health Insurance Program (CHIP) Agencies and CHIP Managed Care Entities, Issuers of Qualified Health Plans on the Federally-Facilitated Exchanges, Merit-Based Incentive Payment System (MIPS) Eligible Clinicians, and Eligible Hospitals and Critical Access Hospitals in the Medicare Promoting Interoperability Program"".",89 FR 85070, 2024-24801,https://www.federalregister.gov/documents/2024/10/25/2024-24801/medicare-and-medicaid-programs-patient-protection-and-affordable-care-act-advancing-interoperability,https://www.govinfo.gov/content/pkg/FR-2024-10-25/pdf/2024-24801.pdf,10/25/2024
Food and Drug Administration Enforcement Policy for Association of American Feed Control Officials-Defined Animal Feed Ingredients; Guidance for Industry; Availability,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) is announcing the availability of a final guidance for industry #293 entitled ""FDA Enforcement Policy for AAFCO-Defined Animal Feed Ingredients."" This communicates FDA's enforcement policy regarding ingredients listed in chapter six of the 2024 Association of American Feed Control Officials (AAFCO) Official Publication after the Agency's memorandum of understanding with AAFCO expired on October 1, 2024.",89 FR 84819, 2024-24715,https://www.federalregister.gov/documents/2024/10/24/2024-24715/food-and-drug-administration-enforcement-policy-for-association-of-american-feed-control,https://www.govinfo.gov/content/pkg/FR-2024-10-24/pdf/2024-24715.pdf,10/24/2024
Regulatory Hearing Before the Food and Drug Administration; General Provisions; Amendments; Correction,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA, Agency, or we) is correcting a final rule entitled ""Regulatory Hearing Before the Food and Drug Administration; General Provisions; Amendments"" that appeared in the Federal Register of September 20, 2024. The final rule inadvertently omitted the effective date for a provision in the regulatory text. This document corrects the error in the DATES portion.",89 FR 83781, 2024-24100,https://www.federalregister.gov/documents/2024/10/18/2024-24100/regulatory-hearing-before-the-food-and-drug-administration-general-provisions-amendments-correction,https://www.govinfo.gov/content/pkg/FR-2024-10-18/pdf/2024-24100.pdf,10/18/2024
Medicare Program: Appeal Rights for Certain Changes in Patient Status,Rule,Health and Human Services Department; Centers for Medicare & Medicaid Services,This final rule implements an order from the Federal district court for the District of Connecticut in Alexander v. Azar that requires HHS to establish appeals processes for certain Medicare beneficiaries who are initially admitted as hospital inpatients but are subsequently reclassified as outpatients receiving observation services during their hospital stay and meet other eligibility criteria.,89 FR 83240, 2024-23195,https://www.federalregister.gov/documents/2024/10/15/2024-23195/medicare-program-appeal-rights-for-certain-changes-in-patient-status,https://www.govinfo.gov/content/pkg/FR-2024-10-15/pdf/2024-23195.pdf,10/15/2024
Medical Devices; Quality System Regulation Amendments; Correction,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) is correcting a final rule that appeared in the Federal Register on February 2, 2024. In that final rule, FDA amended the device current good manufacturing practice (CGMP) requirements of the Quality System (QS) regulation to harmonize and modernize the device CGMP. FDA is correcting an editorial error that inadvertently omitted a definition in the codified of the final rule. This action is editorial in nature and is intended to ensure the accuracy and clarity of the Agency's regulations.",89 FR 82945, 2024-23701,https://www.federalregister.gov/documents/2024/10/15/2024-23701/medical-devices-quality-system-regulation-amendments-correction,https://www.govinfo.gov/content/pkg/FR-2024-10-15/pdf/2024-23701.pdf,10/15/2024
Medicare Program; Changes to the Fiscal Year 2025 Hospital Inpatient Prospective Payment System (IPPS) Rates Due to Court Decision,Rule,Health and Human Services Department; Centers for Medicare & Medicaid Services,"This interim final action with comment period (IFC) implements revised Medicare wage index values for FY 2025, establishes a transitional payment exception for low wage hospitals significantly impacted by those revisions, and makes conforming changes to the hospital Inpatient Prospective Payment System (IPPS) payment rates for FY 2025. These changes reflect the removal of the low wage index hospital policy following the appellate court decision in Bridgeport Hosp. v. Becerra. This rule also makes conforming changes to IPPS rates and factors used to determine certain payments under the Long-Term Care Hospital Prospective Payment System (LTCH PPS).",89 FR 80405, 2024-22765,https://www.federalregister.gov/documents/2024/10/03/2024-22765/medicare-program-changes-to-the-fiscal-year-2025-hospital-inpatient-prospective-payment-system-ipps,https://www.govinfo.gov/content/pkg/FR-2024-10-03/pdf/2024-22765.pdf,10/3/2024
Medicare Program; FY 2025 Inpatient Psychiatric Facilities Prospective Payment System-Rate Update; Correction,Rule,Health and Human Services Department; Centers for Medicare & Medicaid Services,"This document corrects technical errors in the final action that appeared in the August 7, 2024 Federal Register titled ""Medicare Program; FY 2025 Inpatient Psychiatric Facilities Prospective Payment System--Rate Update"".",89 FR 80095, 2024-22496,https://www.federalregister.gov/documents/2024/10/02/2024-22496/medicare-program-fy-2025-inpatient-psychiatric-facilities-prospective-payment-system-rate-update,https://www.govinfo.gov/content/pkg/FR-2024-10-02/pdf/2024-22496.pdf,10/2/2024
Medicare and Medicaid Programs and the Children's Health Insurance Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2025 Rates; Quality Programs Requirements; and Other Policy Changes; Correction,Rule,Health and Human Services Department; Centers for Medicare & Medicaid Services,"This document corrects technical and typographical errors in the final rule that appeared in the August 28, 2024 Federal Register titled ""Medicare and Medicaid Programs and the Children's Health Insurance Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2025 Rates; Quality Programs Requirements; and Other Policy Changes"" (referred to hereafter as the ""FY 2025 IPPS/LTCH PPS final rule"").",89 FR 80098, 2024-22501,https://www.federalregister.gov/documents/2024/10/02/2024-22501/medicare-and-medicaid-programs-and-the-childrens-health-insurance-program-hospital-inpatient,https://www.govinfo.gov/content/pkg/FR-2024-10-02/pdf/2024-22501.pdf,10/2/2024
Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2025 and Updates to the IRF Quality Reporting Program; Correction,Rule,Health and Human Services Department; Centers for Medicare & Medicaid Services,"This document corrects technical and typographical errors in the final rule that appeared in the August 6, 2024 Federal Register entitled ""Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2025 and Updates to the IRF Quality Reporting Program"" (referred to hereafter as the ""FY 2025 IRF final rule""). The effective date of the FY 2025 IRF final rule is October 1, 2024.",89 FR 80131, 2024-22497,https://www.federalregister.gov/documents/2024/10/02/2024-22497/medicare-program-inpatient-rehabilitation-facility-prospective-payment-system-for-federal-fiscal,https://www.govinfo.gov/content/pkg/FR-2024-10-02/pdf/2024-22497.pdf,10/2/2024
