title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Hepatitis C Virus “Lookback” Requirements Based on Review of Historical Testing Records; Technical Amendment,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the biologics regulations by removing the Hepatitis C Virus (HCV) ""lookback"" requirements regarding review of historical testing records. FDA is taking this action because the HCV ""lookback"" regulations based on review of historical testing records expired on August 24, 2015, due to the sunset provision provided under the regulation.",80 FR 80650, 2015-32477,https://www.federalregister.gov/documents/2015/12/28/2015-32477/hepatitis-c-virus-lookback-requirements-based-on-review-of-historical-testing-records-technical,https://www.govinfo.gov/content/pkg/FR-2015-12-28/pdf/2015-32477.pdf,12/28/2015
New Animal Drugs for Use in Animal Feeds; Bacitracin Methylenedisalicylate,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a supplemental new animal drug application (NADA) filed by Pharmgate LLC for the use of a Type A medicated article containing bacitracin methylenedisalicylate to manufacture Type B and Type C medicated feeds for chickens, turkeys, pheasants, quail, and feedlot cattle. This supplemental approval reflects FDA's effectiveness conclusions that relied on the National Academy of Sciences/National Research Council Drug Efficacy Study Group's evaluation of the effectiveness of this drug as well indications for use not subject to this review.",80 FR 79474, 2015-32000,https://www.federalregister.gov/documents/2015/12/22/2015-32000/new-animal-drugs-for-use-in-animal-feeds-bacitracin-methylenedisalicylate,https://www.govinfo.gov/content/pkg/FR-2015-12-22/pdf/2015-32000.pdf,12/22/2015
New Animal Drugs for Use in Animal Feed; Withdrawal of Approval of New Animal Drug Applications; Nitarsone,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect the withdrawal of approval of three new animal drug applications (NADAs) providing for the use of nitarsone in medicated feed for chickens and turkeys. This action is being taken at the sponsor's request because these products are no longer manufactured or marketed.,80 FR 78970, 2015-31827,https://www.federalregister.gov/documents/2015/12/18/2015-31827/new-animal-drugs-for-use-in-animal-feed-withdrawal-of-approval-of-new-animal-drug-applications,https://www.govinfo.gov/content/pkg/FR-2015-12-18/pdf/2015-31827.pdf,12/18/2015
New Animal Drugs for Use in Animal Feed; Withdrawal of Approval of New Animal Drug Applications; Nitarsone,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is withdrawing approval of three new animal drug applications (NADAs) providing for the use of nitarsone in medicated feed for chickens and turkeys. This action is being taken at the sponsor's request because these products are no longer manufactured or marketed.,80 FR 78970, 2015-31828,https://www.federalregister.gov/documents/2015/12/18/2015-31828/new-animal-drugs-for-use-in-animal-feed-withdrawal-of-approval-of-new-animal-drug-applications,https://www.govinfo.gov/content/pkg/FR-2015-12-18/pdf/2015-31828.pdf,12/18/2015
Listing of Color Additives Exempt From Certification; Mica-Based Pearlescent Pigments; Confirmation of Effective Date,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is confirming the effective date of November 2, 2015, for the final rule that appeared in the Federal Register of September 30, 2015, and that amended the color additive regulations to provide for the safe use of mica-based pearlescent pigments prepared from titanium dioxide and mica as a color additive in certain distilled spirits.",80 FR 76859, 2015-31232,https://www.federalregister.gov/documents/2015/12/11/2015-31232/listing-of-color-additives-exempt-from-certification-mica-based-pearlescent-pigments-confirmation-of,https://www.govinfo.gov/content/pkg/FR-2015-12-11/pdf/2015-31232.pdf,12/11/2015
New Animal Drugs; Approval of New Animal Drug Applications; Withdrawals of Approval of New Animal Drug Applications; Changes of Sponsorship,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect application-related actions for new animal drug applications (NADAs) and abbreviated new animal drug applications (ANADAs) during September and October 2015. FDA is also informing the public of the availability of summaries of the basis of approval and of environmental review documents, where applicable. The animal drug regulations are also being amended to reflect changes of sponsorship of applications and the voluntary withdrawals of approval of applications that occurred in September and October 2015.",80 FR 76384, 2015-31042,https://www.federalregister.gov/documents/2015/12/09/2015-31042/new-animal-drugs-approval-of-new-animal-drug-applications-withdrawals-of-approval-of-new-animal-drug,https://www.govinfo.gov/content/pkg/FR-2015-12-09/pdf/2015-31042.pdf,12/9/2015
New Animal Drugs; Withdrawal of Approval of New Animal Drug Applications,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is withdrawing approval of two new animal drug applications (NADAs) and two abbreviated new animal drug applications (ANADAs). This action is being taken at the sponsors' requests because these products are no longer manufactured or marketed.,80 FR 76387, 2015-31040,https://www.federalregister.gov/documents/2015/12/09/2015-31040/new-animal-drugs-withdrawal-of-approval-of-new-animal-drug-applications,https://www.govinfo.gov/content/pkg/FR-2015-12-09/pdf/2015-31040.pdf,12/9/2015
"Final Environmental Impact Statement and Record of Decision for the Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption; Availability",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) has made available for public review the Final Environmental Impact Statement (EIS) and Record of Decision (ROD) for the standards for the growing, harvesting, packing, and holding of produce for human consumption. FDA prepared the Final EIS after taking into account public comment received on the corresponding Draft EIS and is publishing the ROD at the time of our decision. The Final EIS and ROD documents are available in Docket No. FDA-2014-N-2244.",80 FR 74670, 2015-28161,https://www.federalregister.gov/documents/2015/11/27/2015-28161/final-environmental-impact-statement-and-record-of-decision-for-the-standards-for-the-growing,https://www.govinfo.gov/content/pkg/FR-2015-11-27/pdf/2015-28161.pdf,11/27/2015
Foreign Supplier Verification Programs for Importers of Food for Humans and Animals,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is adopting a regulation on foreign supplier verification programs (FSVPs) for importers of food for humans and animals. The regulation requires importers to verify that food they import into the United States is produced in compliance with the hazard analysis and risk-based preventive controls and standards for produce safety provisions of the Federal Food, Drug, and Cosmetic Act (the FD&C Act), is not adulterated, and is not misbranded with respect to food allergen labeling. We are issuing this regulation in accordance with the FDA Food Safety Modernization Act (FSMA). The regulation will help ensure the safety of imported food.",80 FR 74226, 2015-28158,https://www.federalregister.gov/documents/2015/11/27/2015-28158/foreign-supplier-verification-programs-for-importers-of-food-for-humans-and-animals,https://www.govinfo.gov/content/pkg/FR-2015-11-27/pdf/2015-28158.pdf,11/27/2015
"Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption",Rule,Health and Human Services Department; Food and Drug Administration,"To minimize the risk of serious adverse health consequences or death from consumption of contaminated produce, the Food and Drug Administration (FDA or we) is establishing science-based minimum standards for the safe growing, harvesting, packing, and holding of produce, meaning fruits and vegetables grown for human consumption. FDA is establishing these standards as part of our implementation of the FDA Food Safety and Modernization Act. These standards do not apply to produce that is rarely consumed raw, produce for personal or on-farm consumption, or produce that is not a raw agricultural commodity. In addition, produce that receives commercial processing that adequately reduces the presence of microorganisms of public health significance is eligible for exemption from the requirements of this rule. The rule sets forth procedures, processes, and practices that minimize the risk of serious adverse health consequences or death, including those reasonably necessary to prevent the introduction of known or reasonably foreseeable biological hazards into or onto produce and to provide reasonable assurances that the produce is not adulterated on account of such hazards. We expect the rule to reduce foodborne illness associated with the consumption of contaminated produce.",80 FR 74354, 2015-28159,https://www.federalregister.gov/documents/2015/11/27/2015-28159/standards-for-the-growing-harvesting-packing-and-holding-of-produce-for-human-consumption,https://www.govinfo.gov/content/pkg/FR-2015-11-27/pdf/2015-28159.pdf,11/27/2015
