title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
New Animal Drugs; Change of Sponsor's Name,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect a change of sponsor's name from Phoenix Scientific, Inc., to IVX Animal Health, Inc. In order to improve the accuracy of the regulations, erroneous entries for Phoenix Pharmaceutical, Inc., are also being removed at this time.",70 FR 70997, 05-23297,https://www.federalregister.gov/documents/2005/11/25/05-23297/new-animal-drugs-change-of-sponsors-name,https://www.govinfo.gov/content/pkg/FR-2005-11-25/pdf/05-23297.pdf,11/25/2005
Implantation or Injectable Dosage Form New Animal Drugs; Boldenone,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a supplemental new animal drug application (NADA) filed by Fort Dodge Animal Health. The supplemental NADA provides for revised labeling for the veterinary prescription use of injectable boldenone solution in horses.,70 FR 70997, 05-23295,https://www.federalregister.gov/documents/2005/11/25/05-23295/implantation-or-injectable-dosage-form-new-animal-drugs-boldenone,https://www.govinfo.gov/content/pkg/FR-2005-11-25/pdf/05-23295.pdf,11/25/2005
New Animal Drugs; Flunixin,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a supplemental new animal drug application (NADA) filed by Schering-Plough Animal Health Corp. The supplemental NADA provides for the veterinary prescription use of flunixin meglumine solution by intramuscular injection for the control of pyrexia associated with swine respiratory disease.,70 FR 70998, 05-23294,https://www.federalregister.gov/documents/2005/11/25/05-23294/new-animal-drugs-flunixin,https://www.govinfo.gov/content/pkg/FR-2005-11-25/pdf/05-23294.pdf,11/25/2005
Investigational New Drugs: Export Requirements for Unapproved New Drug Products,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending its regulations on the exportation of investigational new drugs, including biological products. The final rule describes four different mechanisms for exporting an investigational new drug product. These provisions implement changes in FDA's export authority resulting from the FDA Export Reform and Enhancement Act of 1996 and also simplify the existing requirements for exports of investigational new drugs.",70 FR 70720, 05-23120,https://www.federalregister.gov/documents/2005/11/23/05-23120/investigational-new-drugs-export-requirements-for-unapproved-new-drug-products,https://www.govinfo.gov/content/pkg/FR-2005-11-23/pdf/05-23120.pdf,11/23/2005
Guidance for Industry: Questions and Answers Regarding the Final Rule on Establishment and Maintenance of Records (Edition 2); Availability,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is announcing the availability of a guidance entitled ""Questions and Answers Regarding Establishment and Maintenance of Records (Edition 2)."" The guidance responds to various questions raised about section 306 of the Public Health Security and Bioterrorism Preparedness and Response Act of 2002 (the Bioterrorism Act) and the agency's implementing regulation, which requires the establishment and maintenance of records by persons who manufacture, process, pack, transport, distribute, receive, hold, or import food in the United States. Such records are to allow for the identification of the immediate previous sources and the immediate subsequent recipients of food. Persons covered by the regulation must be in compliance by December 9, 2005, June 9, 2006, or December 11, 2006, depending on the size of the business.",70 FR 70488, 05-23062,https://www.federalregister.gov/documents/2005/11/22/05-23062/guidance-for-industry-questions-and-answers-regarding-the-final-rule-on-establishment-and,https://www.govinfo.gov/content/pkg/FR-2005-11-22/pdf/05-23062.pdf,11/22/2005
New Animal Drugs; Florfenicol,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a new animal drug application (NADA) filed by Schering-Plough Animal Health Corp. The NADA provides for the use of florfenicol by veterinary feed directive in catfish feed for the control of mortality due to enteric septicemia of catfish.,70 FR 70046, 05-22935,https://www.federalregister.gov/documents/2005/11/21/05-22935/new-animal-drugs-florfenicol,https://www.govinfo.gov/content/pkg/FR-2005-11-21/pdf/05-22935.pdf,11/21/2005
Food Additives Permitted for Direct Addition to Food for Human Consumption; Vitamin D3,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of vitamin D<INF>3</INF> as a nutrient supplement in cheese and cheese products at a level above that currently allowed by the regulations. This action is in response to a petition filed by Kraft Foods Global, Inc. (Kraft).",70 FR 69435, 05-22670,https://www.federalregister.gov/documents/2005/11/16/05-22670/food-additives-permitted-for-direct-addition-to-food-for-human-consumption-vitamin-d3,https://www.govinfo.gov/content/pkg/FR-2005-11-16/pdf/05-22670.pdf,11/16/2005
Oral Dosage Form New Animal Drugs; Tylosin,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a supplemental new animal drug application (NADA) filed by Elanco Animal Health. The supplemental NADA provides for use of tylosin soluble powder in honey bees for the control of American foulbrood (Paenibacillus larvae).,70 FR 69438, 05-22752,https://www.federalregister.gov/documents/2005/11/16/05-22752/oral-dosage-form-new-animal-drugs-tylosin,https://www.govinfo.gov/content/pkg/FR-2005-11-16/pdf/05-22752.pdf,11/16/2005
Environmental Assessment; Categorical Exclusions,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending its regulation on environmental impact considerations to expand existing categorical exclusions to include approvals of humanitarian device exemptions (HDEs) and establishment of special controls as categories of actions that do not individually or cumulatively have a significant effect on the human environment and for which neither an environmental assessment (EA) nor an environmental impact statement (EIS) is required. FDA is taking this action in accordance with the National Environmental Policy Act (NEPA).,70 FR 69276, 05-22563,https://www.federalregister.gov/documents/2005/11/15/05-22563/environmental-assessment-categorical-exclusions,https://www.govinfo.gov/content/pkg/FR-2005-11-15/pdf/05-22563.pdf,11/15/2005
Change of Name; Technical Amendment,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending its regulations to reflect a change in the name for AOAC INTERNATIONAL. This action is editorial in nature and is intended to improve the accuracy of the agency's regulations.,70 FR 67650, 05-22167,https://www.federalregister.gov/documents/2005/11/08/05-22167/change-of-name-technical-amendment,https://www.govinfo.gov/content/pkg/FR-2005-11-08/pdf/05-22167.pdf,11/8/2005
