title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
"Animal Drugs, Feeds, and Related Products; Chlortetracycline Powder, Etc.; Technical Amendments",Rule,DEPARTMENT OF HEALTH AND HUMAN RESOURCES; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the animal drug regulations to correct errors concerning the sponsor of oral chlortetracycline powder, oral tetracycline powder, and interim use of certain medicated feeds. The amendments are required because the regulations did not reflect a change of sponsor from Fermenta Animal Health to Boehringer Ingelheim Vetmedica.",64 FR 37672, 99-17761,https://www.federalregister.gov/documents/1999/07/13/99-17761/animal-drugs-feeds-and-related-products-chlortetracycline-powder-etc-technical-amendments,https://www.govinfo.gov/content/pkg/FR-1999-07-13/pdf/99-17761.pdf,7/13/1999
Ophthalmic and Topical Dosage Form New Animal Drugs; Selamectin,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a new animal drug application (NADA) filed by Pfizer, Inc. The NADA provides for veterinary prescription use of selamectin solution as a topical parasiticide for dogs and cats.",64 FR 37400, 99-17507,https://www.federalregister.gov/documents/1999/07/12/99-17507/ophthalmic-and-topical-dosage-form-new-animal-drugs-selamectin,https://www.govinfo.gov/content/pkg/FR-1999-07-12/pdf/99-17507.pdf,7/12/1999
"Animal Drugs, Feeds, and Related Products; Diclazuril",Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a new animal drug application (NADA) filed by Schering-Plough Animal Health Corp. The NADA provides for the use of a Type A medicated article containing diclazuril for use in manufacturing a Type C medicated feed indicated for the prevention of coccidiosis in broiler chickens.,64 FR 35923, 99-16836,https://www.federalregister.gov/documents/1999/07/02/99-16836/animal-drugs-feeds-and-related-products-diclazuril,https://www.govinfo.gov/content/pkg/FR-1999-07-02/pdf/99-16836.pdf,7/2/1999
Medical Devices; Performance Standard for Diagnostic X-Ray Systems; Amendment,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is issuing a final rule that amends the diagnostic x-ray systems performance standard for dental panoramic systems and mammography systems. This rule exempts panoramic dental x-ray units from the requirement that they be manufactured with exposure timers that automatically reset to zero upon premature termination of an exposure. Removing the automatic timer reset requirement will not compromise the quality of the radiographic image and will protect patients from being subject to unnecessary radiation due to repeat radiographs. This action also is intended to align the performance standard for mammography systems with the equipment requirements issued under the Mammography Quality Standards Act of 1992 (the MQSA).,64 FR 35924, 99-16835,https://www.federalregister.gov/documents/1999/07/02/99-16835/medical-devices-performance-standard-for-diagnostic-x-ray-systems-amendment,https://www.govinfo.gov/content/pkg/FR-1999-07-02/pdf/99-16835.pdf,7/2/1999
Apple Cider Food Safety Control; Workshop,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is announcing a workshop on food safety controls for the apple cider industry. The workshop will clarify issues related to the implementation of the agency's regulations requiring a warning statement for certain juice products. Specifically, the workshop will address pathogen reduction interventions that may be effective for apple cider production and the methods used to measure and validate such interventions. Results of research conducted by Federal, State, private, and academic institutions will be presented.",64 FR 34125, 99-16188,https://www.federalregister.gov/documents/1999/06/25/99-16188/apple-cider-food-safety-control-workshop,https://www.govinfo.gov/content/pkg/FR-1999-06-25/pdf/99-16188.pdf,6/25/1999
Delegation of Authority and Organization; Center for Food Safety and Applied Nutrition,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the general redelegation of authority from the Commissioner of Food and Drugs to other officers of FDA. The amendment delegates to the Director and Deputy Director, Center for Food Safety and Applied Nutrition (CFSAN); the Director, Office of Regulations and Policy, CFSAN; and the Director, Office of Premarket Approval, CFSAN authority to implement the Federal Food, Drug, and Cosmetic Act (the act), as amended hereafter. This redelegation is necessary to improve the efficiency of program operations.",64 FR 33194, 99-15753,https://www.federalregister.gov/documents/1999/06/22/99-15753/delegation-of-authority-and-organization-center-for-food-safety-and-applied-nutrition,https://www.govinfo.gov/content/pkg/FR-1999-06-22/pdf/99-15753.pdf,6/22/1999
Listing of Color Additives For Coloring Meniscal Tacks; D&C Violet No. 2,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the color additive regulations to provide for the safe use of D&C Violet No. 2 to color absorbable meniscal tacks made from poly(L-lactic acid). This action responds to a petition filed by Linvatec Corp.,64 FR 32803, 99-15512,https://www.federalregister.gov/documents/1999/06/18/99-15512/listing-of-color-additives-for-coloring-meniscal-tacks-dandc-violet-no-2,https://www.govinfo.gov/content/pkg/FR-1999-06-18/pdf/99-15512.pdf,6/18/1999
Quality Mammography Standards,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending its regulations governing mammography. The amendments are intended to incorporate changes required by the Mammography Quality Standards Reauthorization Act (MQSRA). Elsewhere in this issue of the Federal Register, FDA is publishing a companion proposed rule under FDA's usual procedures for notice and comment to provide a procedural framework to finalize the rule in the event that the agency withdraws the direct final rule.",64 FR 32404, 99-15292,https://www.federalregister.gov/documents/1999/06/17/99-15292/quality-mammography-standards,https://www.govinfo.gov/content/pkg/FR-1999-06-17/pdf/99-15292.pdf,6/17/1999
Oral Dosage Form New Animal Drugs; Carprofen,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a new animal drug application (NADA) filed by Pfizer, Inc. The NADA provides for veterinary prescription use of carprofen chewable tablets for the relief of pain and inflammation associated with osteoarthritis in dogs.",64 FR 32180, 99-15291,https://www.federalregister.gov/documents/1999/06/16/99-15291/oral-dosage-form-new-animal-drugs-carprofen,https://www.govinfo.gov/content/pkg/FR-1999-06-16/pdf/99-15291.pdf,6/16/1999
Oral Dosage Form New Animal Drugs; Neomycin Sulfate,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a supplemental new animal drug application (NADA) filed by Pharmacia & Upjohn Co. The supplemental NADA provides for use of neomycin sulfate in turkey drinking water for the control of mortality associated with Escherichia coli organisms susceptible to neomycin sulfate in growing turkeys. The regulations are also amended to provide for a tolerance for neomycin residues in edible turkey tissues and an acceptable daily intake (ADI).,64 FR 31497, 99-14924,https://www.federalregister.gov/documents/1999/06/11/99-14924/oral-dosage-form-new-animal-drugs-neomycin-sulfate,https://www.govinfo.gov/content/pkg/FR-1999-06-11/pdf/99-14924.pdf,6/11/1999
"Indirect Food Additives: Adjuvants, Production Aids, and Sanitizers; Technical Amendment",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending a final rule that appeared in the Federal Register of January 19, 1999 (64 FR 2854). The document amended the food additive regulations to provide for the safe use of di-tert-butyl-m-cresyl phosphonite condensation product with biphenyl for use as an antioxidant and/or stabilizer for olefin polymers intended for use in contact with food. The document was published with an error. This document corrects that error.",64 FR 30386, 99-14518,https://www.federalregister.gov/documents/1999/06/08/99-14518/indirect-food-additives-adjuvants-production-aids-and-sanitizers-technical-amendment,https://www.govinfo.gov/content/pkg/FR-1999-06-08/pdf/99-14518.pdf,6/8/1999
Oral Dosage Form New Animal Drugs; Decoquinate; Technical Amendment,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending a final rule that provided for adding a dry powder containing decoquinate to whole milk to be fed to calves for prevention of coccidiosis. The document incorrectly referred to those calves as replacement calves in the heading of Sec. 520.534(d) (21 CFR 520.534(d)) for conditions of use. This document amends the regulation to state that decoquinate is for use in calves.,64 FR 30386, 99-14517,https://www.federalregister.gov/documents/1999/06/08/99-14517/oral-dosage-form-new-animal-drugs-decoquinate-technical-amendment,https://www.govinfo.gov/content/pkg/FR-1999-06-08/pdf/99-14517.pdf,6/8/1999
Food Additives Permitted for Direct Addition to Food for Human Consumption; Sucrose Acetate Isobutyrate,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of sucrose acetate isobutyrate (SAIB) as a stabilizer of emulsions of flavoring oils used in nonalcoholic beverages. This action is in response to a petition filed by Eastman Chemical Co.,64 FR 29949, 99-14147,https://www.federalregister.gov/documents/1999/06/04/99-14147/food-additives-permitted-for-direct-addition-to-food-for-human-consumption-sucrose-acetate,https://www.govinfo.gov/content/pkg/FR-1999-06-04/pdf/99-14147.pdf,6/4/1999
Indirect Food Additives: Adhesives and Components of Coatings,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of 1-octene as an optional monomer in the preparation of polymers for use as resins in adhesives for articles used in contact with food. This action responds to a petition filed by The Dow Chemical Co.,64 FR 29553, 99-13858,https://www.federalregister.gov/documents/1999/06/02/99-13858/indirect-food-additives-adhesives-and-components-of-coatings,https://www.govinfo.gov/content/pkg/FR-1999-06-02/pdf/99-13858.pdf,6/2/1999
Secondary Direct Food Additives Permitted in Food for Human Consumption; Boiler Water Additives,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of sorbitol anhydride esters, an emulsifier blend of sorbitan monostearate, polyoxyethylene (20) sorbitan monostearate (polysorbate 60), and polyoxyethylene (20) sorbitan monolaurate (polysorbate 20) as an anticorrosive agent in boilers where steam may contact food. This action is in response to a petition filed by Nalco Chemical Co.",64 FR 29224, 99-13670,https://www.federalregister.gov/documents/1999/06/01/99-13670/secondary-direct-food-additives-permitted-in-food-for-human-consumption-boiler-water-additives,https://www.govinfo.gov/content/pkg/FR-1999-06-01/pdf/99-13670.pdf,6/1/1999
Direct Food Substances Affirmed as Generally Recognized as Safe: Cellulase Enzyme Preparation Derived From Trichoderma Longibrachiatum for Use In Processing Food,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending its regulations to affirm that cellulase enzyme preparation derived from Trichoderma longibrachiatum (formerly called Trichoderma reesei) as generally recognized as safe (GRAS) is for use in processing food. This action is in response to a petition filed by the AAC Consulting Group, Inc., on behalf of Novo Laboratories, Inc.",64 FR 28358, 99-13151,https://www.federalregister.gov/documents/1999/05/26/99-13151/direct-food-substances-affirmed-as-generally-recognized-as-safe-cellulase-enzyme-preparation-derived,https://www.govinfo.gov/content/pkg/FR-1999-05-26/pdf/99-13151.pdf,5/26/1999
Indirect Food Additives: Polymers,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of a grafted copolymer of cross-linked sodium polyacrylate with polyvinyl alcohol for use as a fluid absorbent in food-contact material. This action responds to a petition filed by Stockhausen, Inc.",64 FR 28097, 99-13093,https://www.federalregister.gov/documents/1999/05/25/99-13093/indirect-food-additives-polymers,https://www.govinfo.gov/content/pkg/FR-1999-05-25/pdf/99-13093.pdf,5/25/1999
Indirect Food Additives: Paper and Paperboard Components,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of monoisopropanolamine as a dispersant for pigments intended to be used either as fillers or colorants in food-contact paper and paperboard. This action is in response to a petition filed by DuPont Chemicals and White Pigments and The Dow Chemical Co.,64 FR 27914, 99-12961,https://www.federalregister.gov/documents/1999/05/24/99-12961/indirect-food-additives-paper-and-paperboard-components,https://www.govinfo.gov/content/pkg/FR-1999-05-24/pdf/99-12961.pdf,5/24/1999
Indirect Food Additives: Polymers,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the food additive regulations to change the density specifications for ethylene- maleic anhydride copolymers intended for use in contact with food. This action is in response to a petition filed by Keller and Heckman LLP.,64 FR 27915, 99-12962,https://www.federalregister.gov/documents/1999/05/24/99-12962/indirect-food-additives-polymers,https://www.govinfo.gov/content/pkg/FR-1999-05-24/pdf/99-12962.pdf,5/24/1999
"Implantation or Injectable Dosage Form New Animal Drugs; Selenium, Vitamin E Injection",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect a previously approved supplemental new animal drug application (NADA) held by Schering-Plough Animal Health Corp. and to remove certain information no longer required in the regulations. The approval concerns use of selenium, vitamin E injection.",64 FR 27916, 99-12963,https://www.federalregister.gov/documents/1999/05/24/99-12963/implantation-or-injectable-dosage-form-new-animal-drugs-selenium-vitamin-e-injection,https://www.govinfo.gov/content/pkg/FR-1999-05-24/pdf/99-12963.pdf,5/24/1999
Sunscreen Drug Products For Over-The-Counter Human Use; Final Monograph,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is issuing a final rule in the form of a final monograph establishing conditions under which over-the-counter (OTC) sunscreen drug products are generally recognized as safe and effective and not misbranded as part of FDA's ongoing review of OTC drug products. FDA is issuing this final rule after considering public comments on the agency's proposed regulation, which was issued in the form of a tentative final monograph, and new data and information on sunscreen drug products that have come to the agency's attention. FDA is also issuing final rules regarding the labeling of certain cosmetic products to inform consumers that these products do not provide protection from the sun.",64 FR 27666, 99-12853,https://www.federalregister.gov/documents/1999/05/21/99-12853/sunscreen-drug-products-for-over-the-counter-human-use-final-monograph,https://www.govinfo.gov/content/pkg/FR-1999-05-21/pdf/99-12853.pdf,5/21/1999
Indirect Food Additives: Polymers,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of polyestercarbonate resins produced by the condensation of 4,4'-isopropylidenediphenol, carbonyl chloride, terephthaloyl chloride, and isophthaloyl chloride. The finished resins are composed of 45 to 85 mole percent ester, of which up to 55 mole percent is the terephthaloyl isomer, as articles or components of articles in contact with food. This action responds to a petition filed by the General Electric Co.",64 FR 27177, 99-12531,https://www.federalregister.gov/documents/1999/05/19/99-12531/indirect-food-additives-polymers,https://www.govinfo.gov/content/pkg/FR-1999-05-19/pdf/99-12531.pdf,5/19/1999
Secondary Direct Food Additives Permitted in Food for Human Consumption,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of acidified solutions of sodium chlorite as an antimicrobial agent in poultry processing. This action is in response to a petition filed by Alcide Corp.,64 FR 26841, 99-12391,https://www.federalregister.gov/documents/1999/05/18/99-12391/secondary-direct-food-additives-permitted-in-food-for-human-consumption,https://www.govinfo.gov/content/pkg/FR-1999-05-18/pdf/99-12391.pdf,5/18/1999
"Indirect Food Additives: Adjuvants, Production Aids, and Sanitizers",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the safe use of anthra(2,1,9- def:6,5,10-d'e'f')diisoquinoline-1,3,8,10 (2H,9H)-tetrone (C.I. Pigment Violet 29) as a colorant for polymers intended for use in contact with food. This action is in response to a petition filed by BASF Corp.",64 FR 26841, 99-12396,https://www.federalregister.gov/documents/1999/05/18/99-12396/indirect-food-additives-adjuvants-production-aids-and-sanitizers,https://www.govinfo.gov/content/pkg/FR-1999-05-18/pdf/99-12396.pdf,5/18/1999
"Indirect Food Additives: Adjuvants, Production Aids, and Sanitizers",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the food additive regulations to provide for the expanded safe use of bis(p- ethylbenzylidene) sorbitol as a clarifying agent for polypropylene articles intended for use in contact with food. This action responds to a petition filed by Mitsui Toatsu Chemicals, Inc. (now Mitsui Chemicals, Inc.).",64 FR 26842, 99-12394,https://www.federalregister.gov/documents/1999/05/18/99-12394/indirect-food-additives-adjuvants-production-aids-and-sanitizers,https://www.govinfo.gov/content/pkg/FR-1999-05-18/pdf/99-12394.pdf,5/18/1999
New Animal Drugs for Use in Animal Feeds; Fenbendazole,Rule,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a supplemental new animal drug application (NADA) filed by Hoechst Roussel Vet. The supplemental NADA provides for revised feeding instructions for using fenbendazole in Type C medicated swine feeds to allow for restricted feeding of sows.,64 FR 26844, 99-12395,https://www.federalregister.gov/documents/1999/05/18/99-12395/new-animal-drugs-for-use-in-animal-feeds-fenbendazole,https://www.govinfo.gov/content/pkg/FR-1999-05-18/pdf/99-12395.pdf,5/18/1999
New Animal Drugs for Use in Animal Feeds; Lasalocid and Bacitracin Zinc,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending the animal drug regulations to reflect approval of a new animal drug application (NADA) filed by Roche Vitamins, Inc. The NADA provides for the use of approved lasalocid Type A medicated articles and bacitracin zinc Type A medicated articles in making Type C medicated feed used for the prevention of coccidiosis caused by Eimeria meleagrimitis, E. gallopavonis, and E. adenoeides, and for increased rate of weight gain and improved feed efficiency in growing turkeys.",64 FR 26844, 99-12393,https://www.federalregister.gov/documents/1999/05/18/99-12393/new-animal-drugs-for-use-in-animal-feeds-lasalocid-and-bacitracin-zinc,https://www.govinfo.gov/content/pkg/FR-1999-05-18/pdf/99-12393.pdf,5/18/1999
"Conforming Regulations Regarding Removal of Section 507 of the Federal Food, Drug, and Cosmetic Act; Confirmation of Effective Date",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) published in the Federal Register of January 5, 1999 (64 FR 396), a direct final rule. The direct final rule amended FDA's regulations by removing references to the repealed statutory provision of the Federal Food, Drug, and Cosmetic Act (the act) under which the agency certified antibiotic drugs. The direct final rule also removed references to the repealed antibiotic monograph regulations and to those regulations dealing with antibiotic applications. This document confirms the effective date of the direct final rule.",64 FR 26657, 99-12230,https://www.federalregister.gov/documents/1999/05/17/99-12230/conforming-regulations-regarding-removal-of-section-507-of-the-federal-food-drug-and-cosmetic-act,https://www.govinfo.gov/content/pkg/FR-1999-05-17/pdf/99-12230.pdf,5/17/1999
