Search for FDA Guidance Documents | FDA,,,,,,,,
Summary,Document,Issue Date,FDA Organization,Topic,Guidance Status,Open for Comment,Comment Closing Date on Draft,Docket Number
Bioanalytical Method Validation for Biomarkers,PDF (222.38 KB)PDF (222.38 KB) of Bioanalytical Method Validation for Biomarkers,01/21/2025,Center for Drug Evaluation and Research,,Final,No,,FDA-2017-D-6821
Prevention and Treatment of Chemotherapy-Induced Peripheral Neuropathy: Developing Drug and Biological Products in Oncology,PDF (246.3 KB)PDF (246.3 KB) of Prevention and Treatment of Chemotherapy-Induced Peripheral Neuropathy: Developing Drug and Biological Products in Oncology,01/17/2025,Oncology Center of Excellence,,Draft,Yes,03/18/2025,FDA-2024-D-5663
Recommendations to Reduce the Risk of Transfusion-Transmitted Malaria: Draft Guidance for Industry,PDF (335.94 KB)PDF (335.94 KB) of Recommendations to Reduce the Risk of Transfusion-Transmitted Malaria: Draft Guidance for Industry,01/15/2025,Center for Biologics Evaluation and Research,"Blood, Blood Products",Draft,No,,FDA-2000-D-0187
Premarket Approval Application and Humanitarian Device Exemption Modular Review:  Guidance for Industry and FDA Staff,PDF (610.09 KB)PDF (610.09 KB) of Premarket Approval Application and Humanitarian Device Exemption Modular Review:  Guidance for Industry and FDA Staff,01/13/2025,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket,",Final,No,,FDA-2024-D-5332
CVM GFI #187B Heritable Intentional Genomic Alterations in Animals: The Approval Process,PDF (820.56 KB)PDF (820.56 KB) of CVM GFI #187B Heritable Intentional Genomic Alterations in Animals: The Approval Process,01/07/2025,Center for Veterinary Medicine,"Premarket, Biotechnology, Investigational New Animal Drug (INAD), New Animal Drug Application (NADA)",Final,No,07/31/2024,FDA-2019-D-2648
CVM GFI #294 - Animal Food Ingredient Consultation (AFIC),PDF (306.9 KB)PDF (306.9 KB) of CVM GFI #294 - Animal Food Ingredient Consultation (AFIC),01/07/2025,Center for Veterinary Medicine,"Premarket, Animal Food Additives, Labeling, Safety - Issues, Errors, and Problems",Final,No,09/09/2024,FDA-2024-D-2978
Accelerated Approval and Considerations for Determining Whether a Confirmatory Trial is Underway,PDF (277.18 KB)PDF (277.18 KB) of Accelerated Approval and Considerations for Determining Whether a Confirmatory Trial is Underway,01/07/2025,Oncology Center of Excellence,,Draft,No,,FDA-2024-D-3334
Considerations for Including Tissue Biopsies in Clinical Trials,PDF (310.94 KB)PDF (310.94 KB) of Considerations for Including Tissue Biopsies in Clinical Trials,01/07/2025,Oncology Center of Excellence,,Draft,Yes,03/10/2025,FDA-2024-D-2402
CVM GFI #251 - Heritable Intentional Genomic Alterations in Animals of Food-Producing Species for Use as Models of Disease,PDF (321.79 KB)PDF (321.79 KB) of CVM GFI #251 - Heritable Intentional Genomic Alterations in Animals of Food-Producing Species for Use as Models of Disease,01/07/2025,Center for Veterinary Medicine,"Biotechnology, Cellular & Gene Therapy, Premarket, Animal Cell-Based Products",Draft,Yes,03/10/2025,FDA-2024-D-4778
CVM GFI #260 - Type VII Veterinary Master File for Research and Development and Risk Reviews,PDF (512.63 KB)PDF (512.63 KB) of CVM GFI #260 - Type VII Veterinary Master File for Research and Development and Risk Reviews,01/07/2025,Center for Veterinary Medicine,"Biotechnology, Cellular & Gene Therapy, Animal Cell-Based Products",Draft,Yes,03/10/2025,FDA-2024-D-5376
Developing Drugs for Optical Imaging,PDF (335.16 KB)PDF (335.16 KB) of Developing Drugs for Optical Imaging,01/07/2025,Center for Devices and Radiological HealthCenter for Drug Evaluation and Research,Clinical - Medical,Draft,Yes,04/08/2025,FDA-2024-D-3780
Obesity and Overweight: Developing Drugs and Biological Products for Weight Reduction,PDF (412.63 KB)PDF (412.63 KB) of Obesity and Overweight: Developing Drugs and Biological Products for Weight Reduction,01/07/2025,Center for Drug Evaluation and Research,Clinical - Medical,Draft,Yes,04/08/2025,FDA-2007-D-0435
"Pulse Oximeters for Medical Purposes - Non-Clinical and Clinical Performance Testing, Labeling, and Premarket Submission Recommendations: Draft Guidance for Industry and  Food and Drug Administration Staff","PDF (1.55 MB)PDF (1.55 MB) of Pulse Oximeters for Medical Purposes - Non-Clinical and Clinical Performance Testing, Labeling, and Premarket Submission Recommendations: Draft Guidance for Industry and  Food and Drug Administration Staff",01/07/2025,Center for Devices and Radiological Health,"Premarket,",Draft,Yes,03/10/2025,FDA-2023-N-4976
Notifying FDA of a Permanent Discontinuance or Interruption in Manufacturing of a Device Under Section 506J of the FD&C Act:  Guidance for Industry and Food and Drug Administration Staff,PDF (626.22 KB)PDF (626.22 KB) of Notifying FDA of a Permanent Discontinuance or Interruption in Manufacturing of a Device Under Section 506J of the FD&C Act:  Guidance for Industry and Food and Drug Administration Staff,01/07/2025,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Postmarket,",Final,No,,FDA-2022-D-0053
Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations: Draft Guidance for Industry and Food and Drug Administration Staff,PDF (1.34 MB)PDF (1.34 MB) of Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations: Draft Guidance for Industry and Food and Drug Administration Staff,01/07/2025,Center for Devices and Radiological HealthCenter for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,"Postmarket, Premarket, Digital Health",Draft,Yes,04/07/2025,FDA-2024-D-4488
Considerations for the Use of Artificial Intelligence To Support Regulatory Decision-Making for Drug and Biological Products: Draft Guidance for Industry and Other Interested Parties,PDF (407.1 KB)PDF (407.1 KB) of Considerations for the Use of Artificial Intelligence To Support Regulatory Decision-Making for Drug and Biological Products: Draft Guidance for Industry and Other Interested Parties,01/07/2025,"Center for Veterinary MedicineOffice of Inspections and InvestigationsOncology Center of ExcellenceCenter for Biologics Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Drug Evaluation and ResearchOffice of the Commissioner,Office of the Chief Medical Officer,Office of Combination Products",Artificial Intelligence,Draft,Yes,04/07/2025,FDA-2024-D-4689
Communications From Firms to Health Care Providers Regarding Scientific Information on Unapproved Uses of Approved/Cleared Medical Products: Questions and Answers,PDF (418.56 KB)PDF (418.56 KB) of Communications From Firms to Health Care Providers Regarding Scientific Information on Unapproved Uses of Approved/Cleared Medical Products: Questions and Answers,01/06/2025,Center for Veterinary MedicineCenter for Biologics Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Drug Evaluation and ResearchOffice of the Commissioner,Administrative / Procedural,Final,No,,FDA-2008-D-0053
"Guidance for FDA Staff and Interested Parties: Evaluating the Public Health Importance of Food Allergens Other Than the Major Food Allergens Listed in the Federal Food, Drug, and Cosmetic Act","PDF (606.53 KB)PDF (606.53 KB) of Guidance for FDA Staff and Interested Parties: Evaluating the Public Health Importance of Food Allergens Other Than the Major Food Allergens Listed in the Federal Food, Drug, and Cosmetic Act",01/06/2025,Human Foods Program,"Allergens, Labeling",Final,No,,FDA-2021-N-0553
