title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Considerations for Complying With 21 CFR 211.110; Draft Guidance for Industry; Availability,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) is announcing the availability of a draft guidance for industry entitled ""Considerations for Complying With 21 CFR 211.110."" This guidance, when finalized, will describe considerations for complying with the requirements for ensuring batch uniformity and drug product integrity. In addition, this guidance discusses related quality considerations for drug products that are manufactured using advanced manufacturing. FDA is committed to supporting and enabling pharmaceutical innovation and modernization as part of the Agency's mission to protect and promote the public health. FDA encourages industry representatives and manufactures who are interested in using innovative control strategies to contact the Agency.",90 FR 563, 2024-31356,https://www.federalregister.gov/documents/2025/01/06/2024-31356/considerations-for-complying-with-21-cfr-211110-draft-guidance-for-industry-availability,https://www.govinfo.gov/content/pkg/FR-2025-01-06/pdf/2024-31356.pdf,1/6/2025
Uniform Compliance Date for Food Labeling Regulations,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is establishing January 1, 2028, as the uniform compliance date for food labeling regulations that are published on or after January 1, 2025, and on or before December 31, 2026. We periodically announce uniform compliance dates for new food labeling requirements to minimize the economic impact of labeling changes.",89 FR 106996, 2024-31419,https://www.federalregister.gov/documents/2024/12/31/2024-31419/uniform-compliance-date-for-food-labeling-regulations,https://www.govinfo.gov/content/pkg/FR-2024-12-31/pdf/2024-31419.pdf,12/31/2024
Food Labeling: Nutrient Content Claims; Definition of Term “Healthy”,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is issuing this final rule updating the definition for the implied nutrient content claim ""healthy"" to be consistent with current nutrition science and Federal dietary guidance, especially the Dietary Guidelines for Americans (Dietary Guidelines), regarding how consumers can maintain healthy dietary practices. This final rule revises the requirements for when the term ""healthy"" can be used as an implied nutrient content claim in the labeling of human food products to help consumers identify foods that are particularly useful as the foundation of a nutritious diet that is consistent with dietary recommendations.",89 FR 106064, 2024-29957,https://www.federalregister.gov/documents/2024/12/27/2024-29957/food-labeling-nutrient-content-claims-definition-of-term-healthy,https://www.govinfo.gov/content/pkg/FR-2024-12-27/pdf/2024-29957.pdf,12/27/2024
Nonprescription Drug Product With an Additional Condition for Nonprescription Use,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA, the Agency, or we) is issuing a final rule to establish requirements for a nonprescription drug product with an additional condition for nonprescription use (ACNU). A nonprescription drug product with an ACNU is a drug product that could be marketed without a prescription if an applicant implements an additional condition to ensure appropriate self-selection or appropriate actual use, or both, by consumers without the supervision of a practitioner licensed by law to administer such drug. The final rule is intended to increase options for applicants to develop and market safe and effective nonprescription drug products and increase consumer access to appropriate, safe, and effective drug products, which could improve public health.",89 FR 105288, 2024-30261,https://www.federalregister.gov/documents/2024/12/26/2024-30261/nonprescription-drug-product-with-an-additional-condition-for-nonprescription-use,https://www.govinfo.gov/content/pkg/FR-2024-12-26/pdf/2024-30261.pdf,12/26/2024
New Animal Drugs; Approval of New Animal Drug Applications; Withdrawal of Approval of New Animal Drug Applications; Change of Sponsor,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is amending the animal drug regulations to reflect application-related actions for new animal drug applications (NADAs) and abbreviated new animal drug applications (ANADAs) during July, August, and September 2024. The animal drug regulations are also being amended to improve their accuracy and readability.",89 FR 95101, 2024-28061,https://www.federalregister.gov/documents/2024/12/02/2024-28061/new-animal-drugs-approval-of-new-animal-drug-applications-withdrawal-of-approval-of-new-animal-drug,https://www.govinfo.gov/content/pkg/FR-2024-12-02/pdf/2024-28061.pdf,12/2/2024
Color Additive Certification; Increase in Fees for Certification Services,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration is amending the regulation setting fees for color additive certification services to increase these fees. This increase will allow FDA to continue to provide, maintain, and equip an adequate color additive certification program as required by the Federal Food, Drug, and Cosmetic Act (FD&C Act).",89 FR 88635, 2024-25974,https://www.federalregister.gov/documents/2024/11/08/2024-25974/color-additive-certification-increase-in-fees-for-certification-services,https://www.govinfo.gov/content/pkg/FR-2024-11-08/pdf/2024-25974.pdf,11/8/2024
"Indirect Food Additives: Adhesives and Components of Coatings; Paper and Paperboard Components; Polymers; Adjuvants, Production Aids, and Sanitizers",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is responding to the objection that we received from the Environmental Defense Fund, Breast Cancer Prevention Partners, Environmental Protection Network, Environmental Working Group, and Healthy Babies Bright Futures on the final rule that amended the food additive regulations to no longer provide for the use of 25 plasticizers that the petition identified as ortho-phthalates because these food additive uses have been permanently abandoned. After reviewing the objection, FDA has concluded that the objection does not provide a basis for modifying FDA's final rule amending the food additive regulations.",89 FR 86239, 2024-25122,https://www.federalregister.gov/documents/2024/10/30/2024-25122/indirect-food-additives-adhesives-and-components-of-coatings-paper-and-paperboard-components,https://www.govinfo.gov/content/pkg/FR-2024-10-30/pdf/2024-25122.pdf,10/30/2024
New Animal Drugs; Approval of New Animal Drug Applications; Change of Sponsor; Change of Sponsor Address,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is amending the animal drug regulations to reflect application-related actions for new animal drug applications (NADAs), abbreviated new animal drug applications (ANADAs), and conditionally approved new animal drug applications (CNADAs) during April, May, and June 2024. The animal drug regulations are also being amended to improve their accuracy and readability.",89 FR 85423, 2024-24820,https://www.federalregister.gov/documents/2024/10/28/2024-24820/new-animal-drugs-approval-of-new-animal-drug-applications-change-of-sponsor-change-of-sponsor,https://www.govinfo.gov/content/pkg/FR-2024-10-28/pdf/2024-24820.pdf,10/28/2024
Food and Drug Administration Enforcement Policy for Association of American Feed Control Officials-Defined Animal Feed Ingredients; Guidance for Industry; Availability,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) is announcing the availability of a final guidance for industry #293 entitled ""FDA Enforcement Policy for AAFCO-Defined Animal Feed Ingredients."" This communicates FDA's enforcement policy regarding ingredients listed in chapter six of the 2024 Association of American Feed Control Officials (AAFCO) Official Publication after the Agency's memorandum of understanding with AAFCO expired on October 1, 2024.",89 FR 84819, 2024-24715,https://www.federalregister.gov/documents/2024/10/24/2024-24715/food-and-drug-administration-enforcement-policy-for-association-of-american-feed-control,https://www.govinfo.gov/content/pkg/FR-2024-10-24/pdf/2024-24715.pdf,10/24/2024
Regulatory Hearing Before the Food and Drug Administration; General Provisions; Amendments; Correction,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA, Agency, or we) is correcting a final rule entitled ""Regulatory Hearing Before the Food and Drug Administration; General Provisions; Amendments"" that appeared in the Federal Register of September 20, 2024. The final rule inadvertently omitted the effective date for a provision in the regulatory text. This document corrects the error in the DATES portion.",89 FR 83781, 2024-24100,https://www.federalregister.gov/documents/2024/10/18/2024-24100/regulatory-hearing-before-the-food-and-drug-administration-general-provisions-amendments-correction,https://www.govinfo.gov/content/pkg/FR-2024-10-18/pdf/2024-24100.pdf,10/18/2024
