title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Listing of Color Additives Exempt From Certification; Myoglobin,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is amending the color additive regulations to provide for the safe use of myoglobin as a color additive in ground meat and ground poultry analogue products. We are taking this action in response to a color additive petition (CAP) submitted by Motif FoodWorks, Inc. (Motif FoodWorks or petitioner).",90 FR 5590, 2025-01239,https://www.federalregister.gov/documents/2025/01/17/2025-01239/listing-of-color-additives-exempt-from-certification-myoglobin,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01239.pdf,01/17/2025
Regulatory Hearing Before the Food and Drug Administration; General Provisions; Amendments; Withdrawal,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) published in the Federal Register of September 20, 2024, a direct final rule amending the Scope section of our regulation that provides for a regulatory hearing before the Agency. The comment period closed December 4, 2024. FDA is withdrawing the direct final rule because the Agency received significant adverse comment.",90 FR 5590, 2025-01145,https://www.federalregister.gov/documents/2025/01/17/2025-01145/regulatory-hearing-before-the-food-and-drug-administration-general-provisions-amendments-withdrawal,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01145.pdf,01/17/2025
Expansion of Buprenorphine Treatment via Telemedicine Encounter,Rule,Justice Department; Drug Enforcement Administration; Health and Human Services Department,"The Drug Enforcement Administration and the Department of Health and Human Services are amending their regulations to expand the circumstances under which practitioners registered by the Drug Enforcement Administration are authorized to prescribe schedule III-V controlled substances approved by the Food and Drug Administration for the treatment of opioid use disorder via a telemedicine encounter, including an audio-only telemedicine encounter. Under these new regulations, after a practitioner reviews the patient's prescription drug monitoring program data for the state in which the patient is located during the telemedicine encounter, the practitioner may prescribe an initial six-month supply of such medications (split amongst several prescriptions totaling six calendar months) through audio-only means. Additional prescriptions can be issued under other forms of telemedicine as authorized under the Controlled Substances Act, or after an in-person medical evaluation is conducted. This regulation also requires the pharmacist to verify the identity of the patient prior to filling a prescription. The Ryan Haight Online Pharmacy Consumer Protection Act of 2008 generally requires an in- person medical evaluation prior to issuance of a controlled substance prescription. However, this regulation falls under one of the exceptions found within the Ryan Haight Act. Additionally, this regulation does not affect practitioner-patient relationships in cases where an in-person medical evaluation has previously occurred. The purpose of this regulation is to prevent lapses of care by continuing some of the telemedicine flexibilities that currently exist for those patients seeking treatment for opioid use disorder.",90 FR 6504, 2025-01049,https://www.federalregister.gov/documents/2025/01/17/2025-01049/expansion-of-buprenorphine-treatment-via-telemedicine-encounter,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01049.pdf,01/17/2025
Continuity of Care via Telemedicine for Veterans Affairs Patients,Rule,Justice Department; Drug Enforcement Administration; Health and Human Services Department,"This final rule authorizes Department of Veterans Affairs (VA) practitioners acting within the scope of their VA employment to prescribe controlled substances via telemedicine to a VA patient with whom they have not conducted an in-person medical evaluation. VA practitioners are permitted to prescribe controlled substances to VA patients if another VA practitioner has, at any time, previously conducted an in-person medical evaluation of the VA patient, subject to certain conditions.",90 FR 6523, 2025-01044,https://www.federalregister.gov/documents/2025/01/17/2025-01044/continuity-of-care-via-telemedicine-for-veterans-affairs-patients,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01044.pdf,01/17/2025
"Color Additive Petition From Center for Science in the Public Interest, et al.; Request To Revoke Color Additive Listing for Use of FD&C Red No. 3 in Food and Ingested Drugs",Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is granting a color additive petition submitted by Center for Science in the Public Interest, et al., by repealing the color additive regulations that permit the use of FD&C Red No. 3 in foods (including dietary supplements) and in ingested drugs. The petitioners provided data demonstrating that this additive induces cancer in male rats. Therefore, FDA is revoking the authorized uses in food and ingested drugs of FD&C Red No. 3 in the color additive regulations.",90 FR 4628, 2025-00830,https://www.federalregister.gov/documents/2025/01/16/2025-00830/color-additive-petition-from-center-for-science-in-the-public-interest-et-al-request-to-revoke-color,https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00830.pdf,01/16/2025
Mandatory Guidelines for Federal Workplace Drug Testing Programs-Authorized Testing Panels,Rule,Health and Human Services Department,"The Department of Health and Human Services (""HHS"" or ""Department"") herein publishes the panels of Schedule I and II drugs and biomarkers authorized for testing in Federal workplace drug testing programs. The Department has revised the drug testing panels for both urine and oral fluid, and revised required nomenclature for laboratory and Medical Review Officer Reports.",90 FR 4662, 2025-00425,https://www.federalregister.gov/documents/2025/01/16/2025-00425/mandatory-guidelines-for-federal-workplace-drug-testing-programs-authorized-testing-panels,https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00425.pdf,01/16/2025
Privacy Act; Implementation,Rule,Health and Human Services Department,"The Department of Health and Human Services (HHS or Department) is issuing this final rule to make effective the exemptions that were previously proposed for a new Privacy Act system of records, ""NIH Police Records,"" maintained by the National Institutes of Health (NIH), from certain requirements of the Act. The new system of records covers criminal and non-criminal law enforcement investigatory material maintained by the NIH Division of Police, a component of NIH which performs criminal law enforcement as its principal function. The exemptions are necessary and appropriate to protect the integrity of law enforcement proceedings and records compiled during the course of NIH Division of Police activities, prevent disclosure of investigative techniques, and protect the identity of confidential sources involved in those activities.",90 FR 4673, 2025-00670,https://www.federalregister.gov/documents/2025/01/16/2025-00670/privacy-act-implementation,https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00670.pdf,01/16/2025
Patient Protection and Affordable Care Act; HHS Notice of Benefit and Payment Parameters for 2026; and Basic Health Program,Rule,Health and Human Services Department; Office of the Secretary,"This final rule includes payment parameters and provisions related to the HHS-operated risk adjustment and risk adjustment data validation (HHS-RADV) programs, as well as 2026 benefit year user fee rates for issuers that participate in the HHS-operated risk adjustment program and the 2026 benefit year user fee rates for issuers offering qualified health plans (QHPs) through Federally-facilitated Exchanges (FFEs) and State-based Exchanges on the Federal platform (SBE-FPs). This final rule also includes requirements related to modifications to the calculation of the Basic Health Program (BHP) payment; and changes to the Initial Validation Audit (IVA) sampling approach and Second Validation Audit (SVA) pairwise means test for HHS-RADV. It also addresses HHS' authority to engage in compliance reviews of and take enforcement action against lead agents of insurance agencies for violations of HHS' Exchange standards and requirements; HHS' system suspension authority to address noncompliance by agents and brokers; an optional fixed-dollar premium payment threshold; permissible plan-level adjustment to the index rate to account for cost-sharing reductions (CSRs); reconsideration standards for certification denials; changes to the approach for conducting Essential Community Provider (ECP) certification reviews; a policy to publicly share aggregated, summary- level Quality Improvement Strategy (QIS) information on an annual basis; and revisions to the medical loss ratio (MLR) reporting and rebate requirements for qualifying issuers that meet certain standards.",90 FR 4424, 2025-00640,https://www.federalregister.gov/documents/2025/01/15/2025-00640/patient-protection-and-affordable-care-act-hhs-notice-of-benefit-and-payment-parameters-for-2026-and,https://www.govinfo.gov/content/pkg/FR-2025-01-15/pdf/2025-00640.pdf,01/15/2025
"Medicare and Medicaid Programs: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs, Including the Hospital Inpatient Quality Reporting Program; Health and Safety Standards for Obstetrical Services in Hospitals and Critical Access Hospitals; Prior Authorization; Requests for Information; Medicaid and CHIP Continuous Eligibility; Medicaid Clinic Services Four Walls Exceptions; Individuals Currently or Formerly in Custody of Penal Authorities; Revision to Medicare Special Enrollment Period for Formerly Incarcerated Individuals; and All-Inclusive Rate Add-On Payment for High-Cost Drugs Provided by Indian Health Service and Tribal Facilities; Correcting Amendment",Rule,Health and Human Services Department; Centers for Medicare & Medicaid Services,"This document corrects technical and typographical errors in the final rule with comment period that appeared in the November 27, 2024 Federal Register titled ""Medicare and Medicaid Programs: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs, including the Hospital Inpatient Quality Reporting Program; Health and Safety Standards for Obstetrical Services in Hospitals and Critical Access Hospitals; Prior Authorization; Requests for Information; Medicaid and CHIP Continuous Eligibility; Medicaid Clinic Services Four Walls Exceptions; Individuals Currently or Formerly in Custody of Penal Authorities; Revision to Medicare Special Enrollment Period for Formerly Incarcerated Individuals; and All-Inclusive Rate Add-On Payment for High-Cost Drugs Provided by Indian Health Service and Tribal Facilities"".",90 FR 2631, 2025-00081,https://www.federalregister.gov/documents/2025/01/13/2025-00081/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,https://www.govinfo.gov/content/pkg/FR-2025-01-13/pdf/2025-00081.pdf,01/13/2025
Considerations for Complying With 21 CFR 211.110; Draft Guidance for Industry; Availability,Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or Agency) is announcing the availability of a draft guidance for industry entitled ""Considerations for Complying With 21 CFR 211.110."" This guidance, when finalized, will describe considerations for complying with the requirements for ensuring batch uniformity and drug product integrity. In addition, this guidance discusses related quality considerations for drug products that are manufactured using advanced manufacturing. FDA is committed to supporting and enabling pharmaceutical innovation and modernization as part of the Agency's mission to protect and promote the public health. FDA encourages industry representatives and manufactures who are interested in using innovative control strategies to contact the Agency.",90 FR 563, 2024-31356,https://www.federalregister.gov/documents/2025/01/06/2024-31356/considerations-for-complying-with-21-cfr-211110-draft-guidance-for-industry-availability,https://www.govinfo.gov/content/pkg/FR-2025-01-06/pdf/2024-31356.pdf,01/06/2025
